slug;marca;familia;nome;tipo;pbt;pbtc;cmt;reducao;entre_eixos;comprimento;energia;bateria;autonomia;carregamento;passageiros;configuracao;carroceria;emissoes;fonte;status
atego-3033-p-8x2;Mercedes-Benz;Atego;Atego 3033 P 8x2;Caminhão;30.200 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;4.800 / 5.400 / 6.300;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x2 plataforma;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/atego;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
axor-2038-s-4x2;Mercedes-Benz;Axor;Axor 2038 S 4x2;Caminhão;20.000 kg;Não publicado (CMT 62.000 / 68.000 kg);62.000 / 68.000 kg;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/axor;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
axor-2538-s-6x2;Mercedes-Benz;Axor;Axor 2538 S 6x2;Caminhão;25.000 kg;Não publicado (CMT Conforme configuração homologada);Conforme configuração homologada;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/axor;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
axor-2545-s-6x2;Mercedes-Benz;Axor;Axor 2545 S 6x2;Caminhão;25.000 kg;Não publicado (CMT 62.000 / 68.000 kg);62.000 / 68.000 kg;Conforme eixo e aplicação;3.553+1.350;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, cavalo mecânico;Cavalo mecânico;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/caminhoes/axor;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
lo-916-48-ore-2;Mercedes-Benz;LO Micro-Ônibus e Escolar;LO 916/48 ORE 2;Ônibus;9.400 kg;Não se aplica;Não publicado na ficha oficial;4,30:1;4.800;Até 9,2 m;Diesel;Não se aplica;Não se aplica;Não se aplica;Até 45 pessoas, incluindo motorista;4x2, piso alto escolar;Chassi de ônibus;Proconve P8 / Euro 6;https://salandingpagespaasprod.blob.core.windows.net/institutional-public/storage/assets/gallery/docs/lo-91648-ore2.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
accelo-1117;Mercedes-Benz;Novo Accelo;Accelo 1117;Caminhão;10.700 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.100 / 3.900 / 4.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/showroom/caminhoes/novo-accelo;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
accelo-1317;Mercedes-Benz;Novo Accelo;Accelo 1317;Caminhão;13.000 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.900+978 / 4.600+978;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/showroom/caminhoes/novo-accelo;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
accelo-1417;Mercedes-Benz;Novo Accelo;Accelo 1417;Caminhão;14.000 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.900+978 / 4.600+978;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/showroom/caminhoes/novo-accelo;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
accelo-917;Mercedes-Benz;Novo Accelo;Accelo 917;Caminhão;9.600 kg;Não publicado na ficha oficial;Não publicado na ficha oficial;Conforme eixo e aplicação;3.100 / 3.900 / 4.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2;Chassi-cabine;Proconve P8 / Euro 6;https://www.mercedes-benz-trucks.com.br/showroom/caminhoes/novo-accelo;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
o-500-rsdd-2745-30;Mercedes-Benz;O 500 Rodoviários;O 500 RSDD 2745/30;Ônibus;27.000 kg;Não se aplica;Não publicado na ficha oficial;2,533:1 / 2,846:1;3.000;15,0 m;Diesel;Não se aplica;Não se aplica;Não se aplica;Até 68 passageiros;8x2 rodoviário;Chassi de ônibus;Proconve P8 / Euro 6;https://salandingpagespaasprod.blob.core.windows.net/institutional-public/storage/assets/gallery/docs/o500-rsdd-2745-30-a.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
o-500-ua-2938;Mercedes-Benz;O 500 Urbanos;O 500 UA 2938;Ônibus;29.000 kg;Não se aplica;Não publicado na ficha oficial;7,73:1 / 6,00:1;Conforme homologação da carroceria;Até 18,6 m;Diesel;Não se aplica;Não se aplica;Não se aplica;Até 135 passageiros;6x2 articulado, entrada baixa;Chassi de ônibus;Proconve P8 / Euro 6;https://salandingpagespaasprod.blob.core.windows.net/institutional-public/storage/assets/gallery/docs/o500-ua-2938-a.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
of-1721l-59;Mercedes-Benz;OF Urbanos e Fretamento;OF 1721L/59;Ônibus;17.000 kg;Não se aplica;Não publicado na ficha oficial;5,875:1 / 5,222:1;5.950;11,3 m ou 12,7 a 13,2 m;Diesel;Não se aplica;Não se aplica;Não se aplica;70 a 80 passageiros;4x2, piso alto;Chassi de ônibus;Proconve P8 / Euro 6;https://salandingpagespaasprod.blob.core.windows.net/institutional-public/storage/assets/gallery/docs/of-1721l-59.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
mercedes-benz-eo500u;Mercedes-Benz;eO500;Mercedes-Benz eO500U;Ônibus;21.200 kg;Não se aplica;Não publicado na ficha oficial;"Integrada ao eixo; relação não publicada";Conforme homologação da carroceria;Carroceria de até 13,2 m;100% elétrico;"3 a 6 pacotes NMC de 98 kWh; até 588 kWh";Até 270 km;"CCS2, até 150 kW; recarga completa em até 3 horas";Mais de 80 passageiros nas configurações de 3 a 5 baterias;4x2, piso baixo;Chassi de ônibus;Zero emissão local;https://www.mercedes-benz-trucks.com.br/showroom/onibus/urbano/eo500u;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-g-420-super;Scania;Linha G;Scania G 420 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine G; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-g-460-super;Scania;Linha G;Scania G 460 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine G; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-g-500-super;Scania;Linha G;Scania G 500 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine G; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-g-560-super;Scania;Linha G;Scania G 560 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine G; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-p-420-super;Scania;Linha P;Scania P 420 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine P; configuração conforme aplicação";Chassi-cabine;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-p-460-super;Scania;Linha P;Scania P 460 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine P; configuração conforme aplicação";Chassi-cabine;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-p-500-super;Scania;Linha P;Scania P 500 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine P; configuração conforme aplicação";Chassi-cabine;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
r-540-a-6x4-nz-plus-540-cv;Scania;Linha R;R 540 A 6x4 NZ (plus) 540 cv;Caminhão;23.000 kg;Conforme configuração homologada;Conforme configuração homologada;Conforme eixo e aplicação;3.550;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine R; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-r-420-super;Scania;Linha R;Scania R 420 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine R; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-r-460-super;Scania;Linha R;Scania R 460 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;"Cabine R; configuração conforme aplicação";Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-r-500-6x4-super;Scania;Linha R;Scania R 500 6x4 Super;Caminhão;23.000 Kg;74.000 Kg;Não publicado na ficha oficial;3,07:1 | 3,42:1;3.550;7.110 mm;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-r-560-6x4-super;Scania;Linha R;Scania R 560  6x4 Super;Caminhão;28.100 Kg;74.000 Kg;Não publicado na ficha oficial;Conforme eixo e aplicação;3.550;7.110 mm;Diesel Euro 6;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-s-420-super;Scania;Linha S;Scania S 420 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Cabine S de piso plano;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-s-460-super;Scania;Linha S;Scania S 460 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Cabine S de piso plano;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-s-500-super;Scania;Linha S;Scania S 500 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Cabine S de piso plano;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-s-560-super;Scania;Linha S;Scania S 560 Super;Caminhão;Conforme configuração do chassi;Conforme configuração homologada;Conforme eixo, transmissão e aplicação;Conforme eixo e aplicação;Conforme configuração do chassi;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;Cabine S de piso plano;Cavalo mecânico;Proconve P8 / Euro 6;https://www.scania.com/br/pt/home/products/trucks/Scania-Super.html;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-k-370-4x2nb;Scania;Série K Rodoviários;Scania K 370 4x2NB;Ônibus;Conforme homologação da carroceria;Não se aplica;Não se aplica;2,72:1 / 2,92:1 / 3,07:1 / 3,42:1;Conforme homologação da carroceria;Conforme carroceria homologada;Diesel;Não se aplica;Não se aplica;Não se aplica;Conforme carroceria homologada;4x2 rodoviário;Chassi de ônibus;Proconve P8;https://www.scania.com/content/dam/www/market/br/pdfs1/especificacoes/onibus/2023/K3704x2NB.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
scania-k-500-8x2nb;Scania;Série K Rodoviários;Scania K 500 8x2NB;Ônibus;Conforme homologação da carroceria;Não se aplica;Não se aplica;2,71:1 / 2,92:1 / 3,08:1;Conforme homologação da carroceria;Conforme carroceria homologada;Diesel;Não se aplica;Não se aplica;Não se aplica;Conforme carroceria homologada;8x2 rodoviário;Chassi de ônibus;Proconve P8;https://www.scania.com/content/dam/www/market/br/pdfs1/especificacoes/onibus/2023/K5008x2NB.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-14-210-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 14.210 4x2;Caminhão;14.500 kg;23.000 kg;Não publicado na ficha oficial;4,88:1 / 4,10:1 / 5,72:1 / 4,56:1 / 6,36:1;4.800 / 5.207;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/1700b775-9215-4788-9467-e7b2f811c990.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-17-210-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 17.210 4x2;Caminhão;16.000 kg;27.000 kg;Não publicado na ficha oficial;5,29:1 / 4,10:1 / 5,72:1 / 4,56:1 / 6,36:1;4.800 / 5.207;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/d7697992-bf48-42bc-8d11-2cb747bed1d3.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-18-210-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 18.210 4x2;Caminhão;16.000 kg;27.000 kg;Não publicado na ficha oficial;5,29:1 / 5,86:1 / 4,56:1 / 6,36:1 / 4,10:1 / 5,72:1 / 6,57:1;3.560 / 4.800 / 5.207;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/70ebe2db-8651-4917-a145-45e568eb6d58.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-18-260-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 18.260 4x2;Caminhão;16.000 kg;35.000 kg;Não publicado na ficha oficial;4,88:1 / 6,65:1 / 3,73:1 / 3,42:1;3.560 / 4.340 / 4.800 / 5.207;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/926afab9-85a2-4ac1-90c7-0978cb47a2cd.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-18-320-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 18.320 4x2;Caminhão;16.000 kg;36.000 kg;Não publicado na ficha oficial;3,42:1 / 3,73:1;4.340 / 4.800 / 5.207;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/ee1a0304-3724-44f6-836b-cc975e62e49f.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-19-380-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 19.380 4x2;Caminhão;16.000 kg;56.000 kg;Não publicado na ficha oficial;3,21:1 / 3,42:1;3.560;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/a680066e-3a64-4d5d-aa44-db68aedf3141.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-20-480-4x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 20.480 4x2;Caminhão;16.000 kg;56.000 kg;Não publicado na ficha oficial;3,08:1 / 2,85:1;3.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/fbd27233-365a-4fdb-a29e-97bff75c8881.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-25-380-6x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 25.380 6x2;Caminhão;23.000 kg;63.000 kg;Não publicado na ficha oficial;3,25:1 / 3,40:1;3.300;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/ad306316-6daf-4278-b836-2e6325840e3e.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-25-480hd-6x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 25.480HD 6x2;Caminhão;23.000 kg;58.500 kg;Não publicado na ficha oficial;3,08:1 / 2,85:1;3.600;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/c2f95c97-4850-40fa-a256-662f652cd613.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-26-260-6x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 26.260 6x2;Caminhão;23.000 kg;35.000 kg;Não publicado na ficha oficial;4,88:1 / 6,65:1 / 3,73:1;4.784 / 6.024 / 6.431;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/9dddb6d6-025b-4e8b-8179-d658fbc6257a.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-26-320-6x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 26.320 6x2;Caminhão;23.000 kg;36.000 kg;Não publicado na ficha oficial;3,42:1 / 3,73:1;6.024 / 6.431;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/a2911c47-5632-4703-b158-e5d1f461c175.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-27-260-6x4;Volkswagen Caminhões e Ônibus;Constellation;Constellation 27.260 6x4;Caminhão;23.000 kg;36.000 kg;Não publicado na ficha oficial;5,29:1 / 4,88:1;4.800 / 5.940;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/e892c996-1f7b-406b-b32c-ff426ae02b96.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-30-320-8x2;Volkswagen Caminhões e Ônibus;Constellation;Constellation 30.320 8x2;Caminhão;29.000 kg;36.000 kg;Não publicado na ficha oficial;3,42:1 / 3,73:1;7.324 / 7.724;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/695d59d2-fb48-473b-8e6b-e2b490db5df8.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-31-320-6x4;Volkswagen Caminhões e Ônibus;Constellation;Constellation 31.320 6x4;Caminhão;23.000 kg;42.000 kg;Não publicado na ficha oficial;4,89:1 / 4,56:1 / 5,38:1;4.800 / 5.940;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/ae56cbe5-00c6-4619-87e1-dd0b5da85d15.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-32-380-6x4;Volkswagen Caminhões e Ônibus;Constellation;Constellation 32.380 6x4;Caminhão;23.000 kg;63.000 kg;Não publicado na ficha oficial;4,55:1;4.800 / 5.940;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/923b8c54-dd59-4b44-85c2-4df1d3ced2ed.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-33-260-8x4;Volkswagen Caminhões e Ônibus;Constellation;Constellation 33.260 8x4;Caminhão;29.000 kg;36.000 kg;Não publicado na ficha oficial;5,29:1;5.750;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;8x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/8586bca2-1adb-4d63-8aba-112150ecc264.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
constellation-33-480-6x4;Volkswagen Caminhões e Ônibus;Constellation;Constellation 33.480 6x4;Caminhão;23.000 kg;74.000 kg;125.000 kg;4,55:1;3.200;Conforme entre-eixos e implementação;Diesel Euro 6;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4;Chassi-Cabine;PROCONVE P-8;https://d1qeqf1yyyqyq8.cloudfront.net/390e78a1-f473-40b0-bc6c-5becf8944808.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
novo-constellation-27-320-6x4;Volkswagen Caminhões e Ônibus;Constellation;Novo Constellation 27.320 6x4;Caminhão;23.000 kg;36.000 kg;36.000 kg;4,88:1 / 5,29:1;4.800 / 5.940;7.465 / 9.831;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;6x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/3f11233f-e605-4b27-b0c3-89ec438958da.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
delivery-11-180;Volkswagen Caminhões e Ônibus;Delivery;Delivery 11.180;Caminhão;10.800 kg;13.200 kg;13.200 kg;Conforme eixo e aplicação;3.400 / 4.000 / 4.400 / 4.600;6.295 / 6.535 / 7.785 / 8.485;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x2, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/351eccd8-cff2-4923-bef2-c0be04ad0b03.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
delivery-11-180-4x4;Volkswagen Caminhões e Ônibus;Delivery;Delivery 11.180 4x4;Caminhão;10.800 kg;13.200 kg;13.200 kg;4,56:1;4.000;Conforme entre-eixos e implementação;Diesel;Não se aplica;Não se aplica;Não se aplica;Não se aplica;4x4, chassi-cabine;Chassi-cabine;Proconve P8 / Euro 6;https://d1qeqf1yyyqyq8.cloudfront.net/f3b5eaa6-6fc8-4c27-a376-ea83f80f51b8.pdf;"Conferido em fonte oficial; valores variáveis ou não publicados foram identificados explicitamente"
